t,E,Ux,U0,Ug,Pg,Uk,Pk,TQ,Rs,RX_h1,Tsvp,Tgaz,T_combined,original_t,global_time,file_index,file_name
1343.557,0.1,0.0165658,0.0225879,0.14188,13.812,0.16226,16.218,1.8925764558022625e-07,87.53041362853561,87.53041362853563,2.1408376761113086,1.8252466300965584,2.1408376761113086,1343.557,14908.544,2,1542.dat
1345.273,0.1,0.0165744,0.0225593,0.14193,13.817,0.16261,16.252,1.8901801424382071e-07,87.68688035533016,87.68688035533017,2.1421955335575125,1.8259152977103617,2.1421955335575125,1345.273,14910.26,2,1542.dat
1346.99,0.1,0.0165693,0.0225672,0.14199,13.823,0.16296,16.287,1.8908420611646418e-07,87.6292120865681,87.6292120865681,2.1435922070789815,1.8267177065049036,2.1435922070789815,1346.99,14911.977,2,1542.dat
1348.709,0.1,0.0165804,0.0225776,0.14208,13.832,0.1633,16.321,1.8917134478424803e-07,87.6475240946779,87.64752409467789,2.144947889447238,1.8279213353610329,2.144947889447238,1348.709,14913.696,2,1542.dat
1350.427,0.1,0.0165973,0.0225943,0.14212,13.836,0.16366,16.357,1.8931126937578552e-07,87.67201263150439,87.67201263150439,2.1463821540095425,1.8284562875530748,2.1463821540095425,1350.427,14915.414,2,1542.dat
1352.145,0.1,0.0165924,0.0226242,0.14217,13.841,0.16399,16.39,1.8956179304566403e-07,87.53029676187444,87.53029676187444,2.1476958475092194,1.8291249830147334,2.1476958475092194,1352.145,14917.132000000001,2,1542.dat
1353.863,0.1,0.016587,0.0226167,0.14223,13.847,0.16435,16.426,1.89498952660243e-07,87.53082677844249,87.53082677844249,2.149127826172902,1.8299274252271802,2.149127826172902,1353.863,14918.85,2,1542.dat
1355.58,0.1,0.0165664,0.0225675,0.14231,13.855,0.16468,16.46,1.8908671973188103e-07,87.61271031350391,87.61271031350392,2.150479159420996,1.830997361173492,2.150479159420996,1355.58,14920.567000000001,2,1542.dat
1357.297,0.1,0.0165434,0.0226007,0.14238,13.862,0.16501,16.493,1.893648931713448e-07,87.36255027499146,87.36255027499148,2.151789736480257,1.8319335673108441,2.151789736480257,1357.297,14922.284,2,1542.dat
1359.014,0.1,0.0165557,0.0225929,0.14246,13.87,0.16537,16.529,1.8929953917050691e-07,87.45768781342811,87.45768781342811,2.1532183237448113,1.8330035311073303,2.1532183237448113,1359.014,14924.001,2,1542.dat
1360.731,0.1,0.0165511,0.0226101,0.14249,13.873,0.1657,16.561,1.894436531210725e-07,87.36687520179034,87.36687520179034,2.15448718880435,1.8334047713605104,2.15448718880435,1360.731,14925.718,2,1542.dat
1362.45,0.1,0.0165689,0.022624,0.14259,13.883,0.16604,16.595,1.8956011730205278e-07,87.40709931930694,87.40709931930695,2.1558343391570545,1.8347422539572815,2.1558343391570545,1362.45,14927.437,2,1542.dat
